,id,mid_tempo,order,diff,complexity,prac1_diff,prac1_perf,prac1_err,prac2_diff,prac2_perf,prac2_err,prac3_diff,prac3_perf,prac3_err,prac4_diff,prac4_perf,prac4_err,prac5_diff,prac5_perf,prac5_err,prac_coef_diff,prac_intecept_diff,prac_coef_perf,prac_intecept_perf,prac_coef_err,prac_intecept_err,test_diff,test_err,test_perf,ret1_diff,ret1_err,ret1_perf,ret2_diff,ret2_err,ret2_perf,ret3_diff,ret3_err,ret3_perf
65,25,281,1,0,5,2,4,0.117624238,3,7,0.529664476,2,7,0.065692381,2,7,0.110431571,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.011581,7,3,0.06347181,7,2,0.013197857,7,2,0.018485762,7
66,25,281,2,2,5,3,4,0.057912842,3,5,0.024393684,3,7,0.018867368,2,6,0.017912842,2,7,0.015814737,-0.3,3.2,0.6999999999999998,4.4,-0.0090677052,0.045115705,4,0.016443737,7,2,0.014802474,7,2,0.119441316,5,2,0.013596789,7
67,25,281,3,3,5,3,7,0.011224375,2,7,0.013925042,2,7,0.011892958,2,4,0.140516042,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.052285917,7,2,0.011502625,7,2,0.0503975,7,2,0.051441083,7
68,26,83,0,3,3,2,5,0.08847085,2,6,0.03602085,2,6,0.03433175,2,6,0.02902275,2,6,0.02454265,0.0,2.0,0.19999999999999998,5.3999999999999995,-0.013485450000000003,0.06944867000000002,2,0.04389905,6,2,1.21268175,4,2,1.17512085,5,2,1.17327085,6
69,26,83,1,4,3,2,5,1.193654722,3,4,1.196598611,3,6,1.190093056,2,6,1.190568056,2,6,1.1934325,-0.09999999999999996,2.5999999999999996,0.4,4.6000000000000005,-0.0006474999000000147,1.1941643888,1,1.198503944,6,2,0.023732739,6,2,0.025921696,6,2,0.026269522,6
70,26,83,2,0,3,4,2,1.206070478,4,2,1.134690913,2,5,1.23028787,2,4,1.210853087,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.149350913,6,2,0.029086053,6,2,0.028758789,6,2,0.028390368,6
71,26,83,3,2,3,5,1,1.337602421,2,4,1.219247263,3,5,1.222399474,3,5,1.202563053,3,4,1.212826211,-0.30000000000000004,3.8000000000000003,0.7000000000000002,2.3999999999999995,-0.026623662999999968,1.2921750103999998,2,1.195957842,5,2,0.032887696,6,1,0.03260787,6,2,0.077095609,5
72,27,83,0,2,3,2,5,0.0401836,2,6,0.03593928,2,5,0.10126072,1,7,0.05626072,3,4,0.23489928,0.09999999999999999,1.8,-0.09999999999999999,5.6000000000000005,0.04097528,0.01175815999999999,1,0.04237784,7,2,1.04,5,2,0.15483564,4,2,0.08555564,4
73,27,83,1,3,3,4,3,0.561109864,4,3,0.400600818,3,4,0.098281773,2,5,0.0642025,2,5,0.0690405,-0.6000000000000001,4.2,0.6000000000000001,2.8,-0.13205370460000002,0.5027545002,2,0.064666955,6,2,0.105660273,4,2,0.106897455,4,2,0.160954545,4
74,27,83,2,4,3,3,4,0.0337275,3,5,0.019292955,2,6,0.030565682,2,6,0.019287955,2,5,0.077934318,-0.3,3.0,0.30000000000000004,4.6,0.0088408636,0.0184799548,1,0.041317318,6,2,0.040518955,5,2,0.0407165,6,2,0.053171045,6
75,27,83,3,0,3,3,4,0.411344474,4,3,0.374106263,3,5,0.102497632,2,4,0.238403842,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.047806684,5,2,0.043923421,5,3,0.611684211,3,2,0.152764526,5
76,28,284,0,0,5,6,3,0.07391625,4,5,0.04741625,4,3,0.59792275,4,4,0.1474435,4,4,0.41380325,-0.39999999999999997,5.2,0.10000000000000002,3.5999999999999996,0.07798012500000001,0.10014014999999998,3,0.06850325,6,3,0.05757015,6,3,0.1653932,6,3,0.3126733,5
77,28,284,1,2,5,2,6,0.0250715,1,5,0.101458278,1,6,0.026385611,1,7,0.0302745,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.075288611,6,2,0.052324722,5,2,0.0547475,6,1,0.0206025,7
78,28,284,2,3,5,5,3,0.203877,5,2,0.112421667,5,3,0.085062333,4,4,0.059097,3,5,0.178191333,-0.5,5.4,0.6,2.2,-0.010469600100000002,0.14866906680000003,4,0.115529,4,4,0.359733333,4,2,0.117271,5,2,0.568724667,4
79,28,284,3,4,5,6,3,0.92414975,6,2,0.925433,6,2,0.78373225,6,3,0.9262665,5,3,0.16786575,-0.2,6.2,0.09999999999999996,2.4000000000000004,-0.15117345,1.0478363499999999,5,0.3842966,4,5,0.8394935,2,4,0.8023065,2,4,0.38117275,3
80,29,215,0,4,3,7,3,0.4810215,7,3,0.5637215,7,4,0.21312175,6,4,0.099986,6,5,0.1035715,-0.30000000000000004,7.199999999999999,0.5000000000000001,2.8,-0.12186354999999999,0.53601155,6,0.0901224,4,3,0.1102155,3,3,0.08335515,4,3,0.23171895,2
81,29,215,1,0,3,5,3,0.125315286,4,4,0.046743857,4,4,0.053960619,4,3,0.107430238,4,4,0.121008238,-0.19999999999999998,4.6000000000000005,0.09999999999999999,3.4,0.005207228499999998,0.0804771906,5,0.099116619,3,3,0.228228238,2,3,0.059438429,3,3,0.311901476,3
82,29,215,2,2,3,3,4,0.074727273,3,3,0.105,3,2,0.313045455,3,3,0.110681818,3,4,0.100909091,0.0,3.0,-3.510833468576701e-17,3.2,0.005804545400000003,0.12926363659999998,5,0.345501591,3,3,0.337068955,3,3,0.038173955,5,3,0.148959227,4
83,29,215,3,3,3,4,3,0.08185345,4,2,0.1968362,4,3,0.27128275,4,2,0.17959485,4,3,0.07577585,0.0,4.0,-1.7554167342883506e-17,2.6,-0.0029396549999999907,0.16694792999999997,4,0.18734825,3,3,0.28270515,2,3,0.05508275,5,3,0.05786725,5
