date,time,user_id,free_text,phase,task_number,trial_number,diff_rating,perf_rating,saved_filename,practice_mode,bpm,number_of_bars,complexityLevel,loaded_filename,pitch_right,note_hold_time_right,timing_right,n_missing_notes_right,n_extra_notes_right,Summed_right,pitch_left,note_hold_time_left,timing_left,n_missing_notes_left,n_extra_notes_left,Summed_left
17/08/2022,16:24:48,3,Free text,Practice,6,5,1,7,2022_08_17-16_20_41.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.089055556,0.0374,0.066666667,0,0.193122222,0,0,0,0,0,0
17/08/2022,16:26:08,3,Free text,Test,7,1,1,7,2022_08_17-16_20_41.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.133333333,0.074611111,0.663333333,1.266666667,0,2.137944444,0,0,0,0,0,0
17/08/2022,16:29:03,3,Free text,Practice,8,1,1,7,2022_08_17-16_28_59.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.071027778,0.0348,0,0,0.105827778,0,0,0,0,0,0
17/08/2022,16:29:55,3,Free text,Practice,8,2,1,7,2022_08_17-16_28_59.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.1535,0.04165,0,0,0.19515,0,0,0,0,0,0
17/08/2022,16:30:47,3,Free text,Practice,8,3,1,7,2022_08_17-16_28_59.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.108583333,0.04275,0,0,0.151333333,0,0,0,0,0,0
17/08/2022,16:33:25,3,Free text,Practice,9,1,1,4,2022_08_17-16_33_14.xml,None,65,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.058823529,0.111903667,0.089530118,0,0.058823529,0.319080843,0,0,0,0,0,0
17/08/2022,16:34:08,3,Free text,Practice,9,2,3,4,2022_08_17-16_33_14.xml,None,65,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.096508444,0.084308235,0.058823529,0,0.239640209,0,0,0,0,0,0
17/08/2022,16:34:55,3,Free text,Practice,9,3,3,5,2022_08_17-16_33_14.xml,None,65,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.058823529,0.091668444,0.083249412,0.058823529,0,0.292564915,0,0,0,0,0,0
17/08/2022,16:35:38,3,Free text,Practice,9,4,2,7,2022_08_17-16_33_14.xml,None,65,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.170538333,0.044000706,0,0,0.214539039,0,0,0,0,0,0
17/08/2022,16:36:30,3,Free text,Practice,9,5,3,5,2022_08_17-16_33_14.xml,None,65,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.176470588,0.089546778,0.145615765,0,0.058823529,0.47045666,0,0,0,0,0,0
